A;Agilent Technologies Inc. Common Stock;United States;Capital Goods;Biotechnology: Laboratory Analytical Instruments
AA;Alcoa Corporation Common Stock ;;Basic Industries;Aluminum
AAIC;Arlington Asset Investment Corp Class A (new);United States;Consumer Services;Real Estate Investment Trusts
AAIC^B;Arlington Asset Investment Corp 7.00% ;United States;;
AAIC^C;Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ;United States;;
AAN;Aarons Holdings Company Inc. Common Stock ;United States;Technology;Diversified Commercial Services
AAP;Advance Auto Parts Inc Advance Auto Parts Inc W/I;United States;Consumer Services;Other Specialty Stores
AAT;American Assets Trust Inc. Common Stock;United States;Consumer Services;Real Estate Investment Trusts
AB;AllianceBernstein Holding L.P.  Units;United States;Finance;Investment Managers
ABB;ABB Ltd Common Stock;Switzerland;Consumer Durables;Electrical Products
ABBV;AbbVie Inc. Common Stock;United States;Health Care;Major Pharmaceuticals
ABC;AmerisourceBergen Corporation Common Stock;United States;Health Care;Other Pharmaceuticals
ABEV;Ambev S.A. American Depositary Shares (Each representing 1 Common Share);;Consumer Non-Durables;Beverages (Production/Distribution)
ABG;Asbury Automotive Group Inc Common Stock;United States;Consumer Durables;Automotive Aftermarket
ABM;ABM Industries Incorporated Common Stock;United States;Finance;Diversified Commercial Services
ABR;Arbor Realty Trust Common Stock;United States;Consumer Services;Real Estate Investment Trusts
ABR^A;Arbor Realty Trust Preferred Series A;United States;;
ABR^B;Arbor Realty Trust Cumulative Redeemable Preferred Series B;United States;;
ABR^C;Arbor Realty Trust Cumulative Redeemable Preferred Series C;United States;;
ABT;Abbott Laboratories Common Stock;United States;Health Care;Major Pharmaceuticals
AC;Associated Capital Group Inc. Common Stock;United States;Finance;Investment Bankers/Brokers/Service
ACA;Arcosa Inc. Common Stock ;;Capital Goods;Metal Fabrications
ACB;Aurora Cannabis Inc. Common Shares;;Consumer Durables;Specialty Chemicals
ACC;American Campus Communities Inc Common Stock;United States;Consumer Services;Real Estate Investment Trusts
ACCO;Acco Brands Corporation Common Stock;United States;Consumer Durables;Publishing
ACEL;Accel Entertainment Inc. ;United States;Consumer Services;Services-Misc. Amusement & Recreation
ACH;Aluminum Corporation of China Limited American Depositary Shares;China;Basic Industries;Aluminum
ACI;Albertsons Companies Inc. Class A Common Stock;United States;Consumer Services;Food Chains
ACIC;Atlas Crest Investment Corp. Class A Common Stock;United States;Finance;Business Services
ACM;AECOM Common Stock;United States;Consumer Services;Military/Government/Technical
ACN;Accenture plc Class A Ordinary Shares (Ireland);Ireland;Miscellaneous;Business Services
ACND;Ascendant Digital Acquisition Corp. Class A Ordinary Shares;United States;Finance;Business Services
ACP;Aberdeen Income Credit Strategies Fund Common Shares;United States;;
ACRE;Ares Commercial Real Estate Corporation Common Stock;United States;Consumer Services;Real Estate Investment Trusts
ACV;Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest;United States;;
ADC;Agree Realty Corporation Common Stock;United States;Consumer Services;Real Estate Investment Trusts
ADCT;ADC Therapeutics SA Common Shares;;Health Care;Major Pharmaceuticals
ADM;Archer-Daniels-Midland Company Common Stock;United States;Consumer Non-Durables;Packaged Foods
ADNT;Adient plc Ordinary Shares ;;Capital Goods;Auto Parts:O.E.M.
